TITLE     = "Versuch_09 | Versuch_09"
VARIABLES = "Time [s]"
"Kapazitiv 2 [mm]"
"Strom [A]"
"Kalibrator [Pa]"
"Cavity Pressure [Pa]"
ZONE T="Sensoren_03"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE SINGLE DOUBLE )
 PASSIVEVARLIST=[4]
 4.030200000E-001 3.270775518E+000 -5.705703214E+001 1.597544392E+004
 4.030300000E-001 3.269648199E+000 -5.706347405E+001 1.597489410E+004
 4.030400000E-001 3.272547019E+000 -5.706669500E+001 1.596529721E+004
 4.030500000E-001 3.270614472E+000 -5.706669500E+001 1.598079218E+004
 4.030600000E-001 3.271419700E+000 -5.706347405E+001 1.597009566E+004
 4.030700000E-001 3.269487153E+000 -5.706025309E+001 1.597119530E+004
 4.030800000E-001 3.272708064E+000 -5.706025309E+001 1.597754324E+004
 4.030900000E-001 3.269004017E+000 -5.705381119E+001 1.597849293E+004
 4.031000000E-001 3.272224928E+000 -5.705703214E+001 1.597054551E+004
 4.031100000E-001 3.267232516E+000 -5.706669500E+001 1.597559387E+004
 4.031200000E-001 3.270292381E+000 -5.706669500E+001 1.597614369E+004
 4.031300000E-001 3.268198789E+000 -5.706347405E+001 1.595580030E+004
 4.031400000E-001 3.271741791E+000 -5.706025309E+001 1.597819303E+004
 4.031500000E-001 3.268681926E+000 -5.706025309E+001 1.597844295E+004
 4.031600000E-001 3.270292381E+000 -5.706025309E+001 1.597859290E+004
 4.031700000E-001 3.271580745E+000 -5.706025309E+001 1.597414434E+004
 4.031800000E-001 3.273030155E+000 -5.705703214E+001 1.596934590E+004
 4.031900000E-001 3.272224928E+000 -5.706025309E+001 1.597359452E+004
 4.032000000E-001 3.270775518E+000 -5.705703214E+001 1.598714012E+004
 4.032100000E-001 3.270775518E+000 -5.706025309E+001 1.597724333E+004
 4.032200000E-001 3.272063882E+000 -5.706347405E+001 1.597824301E+004
 4.032300000E-001 3.270775518E+000 -5.705381119E+001 1.597994246E+004
 4.032400000E-001 3.272869110E+000 -5.706347405E+001 1.597414434E+004
 4.032500000E-001 3.273191201E+000 -5.706669500E+001 1.598194181E+004
 4.032600000E-001 3.269648199E+000 -5.705703214E+001 1.597424431E+004
